,precision,recall,f1-score,support
0.0,0.9972393289445742,1.0,0.9986177565124934,9392.0
1.0,0.7922948073701842,0.7870216306156406,0.7896494156928212,601.0
2.0,0.9718045112781954,0.9773156899810964,0.9745523091423186,529.0
3.0,0.8655737704918033,0.8924572152968518,0.8788099448663268,4733.0
4.0,0.9964133602331315,0.9977553310886644,0.9970838941229251,4455.0
5.0,0.75,1.0,0.8571428571428571,6.0
6.0,0.9137254901960784,0.6873156342182891,0.7845117845117845,1017.0
7.0,0.9934048626833349,0.997134670487106,0.995266272189349,10121.0
8.0,0.9776413853572994,0.9562607204116638,0.9668328636462172,4664.0
9.0,0.6363636363636364,0.35,0.45161290322580644,20.0
10.0,0.9360301034807149,0.8326359832635983,0.8813108945969885,1195.0
11.0,0.9813379575562398,0.9867857608863267,0.9840543194104356,84303.0
12.0,0.9990063522481281,0.9998224179570961,0.9994142185142453,28156.0
13.0,0.9533333333333334,0.7447916666666666,0.8362573099415204,192.0
14.0,0.9958435669752503,0.9945283018867924,0.995185499858397,10600.0
15.0,0.8333333333333334,0.5670103092783505,0.6748466257668712,388.0
16.0,0.9310344827586207,0.9529411764705882,0.941860465116279,85.0
17.0,0.8308823529411765,0.4767932489451477,0.6058981233243967,237.0
18.0,0.9796495195025439,0.9979844514828679,0.9887319925830838,3473.0
accuracy,0.9820183106227195,0.9820183106227195,0.9820183106227195,0.9820183106227195
macro avg,0.9123637976340832,0.8525554846808815,0.8737704973771114,164167.0
weighted avg,0.9817415892847334,0.9820183106227195,0.9815935517883055,164167.0
