,precision,recall,f1-score,support
0,0.99968,0.997870528109029,0.99877444450365,9392.0
1,0.8056013179571664,0.8136439267886856,0.8096026490066226,601.0
2,0.9784313725490196,0.943289224952741,0.960538979788258,529.0
3,0.9305555555555556,0.6653285442636805,0.7759024270050512,4733.0
4,0.9986538030065066,0.9991021324354658,0.9988779174147216,4455.0
5,0.8571428571428571,1.0,0.923076923076923,6.0
6,0.9465648854961832,0.9754178957718781,0.9607748184019371,1017.0
7,0.9940641076375148,0.9927872739847841,0.9934252805378417,10121.0
8,0.9922697015245866,0.9907804459691252,0.9915245145370667,4664.0
9,0.5833333333333334,0.35,0.4375,20.0
10,0.9932603201347936,0.9866108786610879,0.9899244332493703,1195.0
11,0.976235708208529,0.993582672028279,0.9848328081644171,84303.0
12,0.9988993431563998,0.9992186390112232,0.9990589655723443,28156.0
13,0.9444444444444444,0.796875,0.8644067796610169,192.0
14,0.9844041837878222,0.9944339622641509,0.9893936549652712,10600.0
15,0.9027777777777778,0.6701030927835051,0.7692307692307692,388.0
16,0.987012987012987,0.8941176470588236,0.9382716049382716,85.0
17,0.8402777777777778,0.510548523206751,0.6351706036745406,237.0
18,0.9997118155619596,0.9988482579902102,0.9992798502088434,3473.0
accuracy,0.982712725456395,0.982712725456395,0.982712725456395,0.982712725456395
macro avg,0.9322800680034323,0.872239928698917,0.8957667065229956,164167.0
weighted avg,0.9822028754146246,0.982712725456395,0.9816678701404141,164167.0
