,precision,recall,f1-score,support
0,0.8797683669442993,0.9789948377143536,0.9267330959254974,84265.0
1,0.9445695695695696,0.9809802832874576,0.9624306766882436,84649.0
2,0.9853789874158618,0.995906391235418,0.9906147210600953,84522.0
3,0.8224426605504587,0.8484206790488584,0.8352297210737786,84530.0
4,0.9968220087750504,0.9951934460387366,0.9960070616950439,84468.0
5,0.9830575715852605,0.9994187356908149,0.9911706401727048,84299.0
6,0.8277972713922177,0.879553088596136,0.852890729222613,83954.0
7,0.7794823615678097,0.8098032447359337,0.7943535675505271,84013.0
8,0.9586574085433177,0.924945256554418,0.9414996475882385,84485.0
9,0.9742232945926254,0.9715888785647917,0.9729043032236901,83946.0
10,0.8568321980854198,0.886324684598905,0.8713289495237874,84020.0
11,0.6579648298774201,0.5425636181141879,0.5947177333238413,84685.0
12,0.9955909340070068,0.9963270368250334,0.9959588494045561,83856.0
13,0.9740924971871854,0.7844301382927993,0.8690334680508228,83880.0
14,0.7280310092733429,0.7033060789193032,0.7154549947563195,84390.0
15,0.9022521918053319,0.9561523055591766,0.9284206044635717,84383.0
16,0.9777335796918949,0.9862530716905873,0.9819748475249397,84237.0
17,0.9293367676981522,0.934801126280671,0.932060938135878,84526.0
18,0.9735315277681079,0.9954910592451084,0.9843888416297557,84277.0
accuracy,0.903660269079578,0.903660269079578,0.903660269079578,0.903660269079578
macro avg,0.9025034229647545,0.9037081032101417,0.9019564942638898,1601385.0
weighted avg,0.9024463419660848,0.903660269079578,0.9019052889741708,1601385.0
