,precision,recall,f1-score,support
0,0.9659403427120795,0.9453416149068323,0.9555299780265774,4830.0
1,0.9344144144144144,0.5391973383239759,0.6838080168776371,9618.0
2,0.9999257940041555,0.9967453213995118,0.9983330246341915,13519.0
3,1.0,1.0,1.0,9949.0
4,1.0,1.0,1.0,24506.0
5,0.24019607843137256,0.7386934673366834,0.36251541307028357,199.0
6,1.0,1.0,1.0,69.0
7,1.0,1.0,1.0,272695.0
8,0.537640489149643,0.7615138165798959,0.6302879635384296,9988.0
9,0.9677331887201736,0.8814522104223265,0.922579811296368,4049.0
10,0.8683446272991288,0.90973630831643,0.888558692421991,1972.0
11,0.6615799976523066,0.5609076433121019,0.6070986158237733,10048.0
12,0.7143475438216836,0.4552475520617846,0.5560983827493262,7251.0
13,0.9744115741740444,0.8884622957275055,0.9294541709577755,10158.0
14,0.34256958250497016,0.8939688715953308,0.4953287818900467,3084.0
accuracy,0.9537774752248419,0.9537774752248419,0.9537774752248419,0.9537774752248419
macro avg,0.8138069088589314,0.8380844293321587,0.8019728567524267,381935.0
weighted avg,0.9640907830736705,0.9537774752248419,0.9553042934051496,381935.0
